,user,wave_no,vaccination_time,total_interactions,vaccinated_interactions,infected_interactions,recovered_interactions,susceptible_interactions,vaccinated_all,infected_all,recovered_all,susceptible_all
0,88,5,,1267,33.78058405682715,0.0,0.0,66.21941594317285,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
1,434,5,2014-10-06 14:20:00,408,6.127450980392156,0.0,0.0,93.87254901960785,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
2,327,5,,1328,43.22289156626506,0.0,0.0,56.77710843373494,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
3,455,5,,117,37.60683760683761,0.0,0.0,62.39316239316239,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
4,25,5,,309,38.51132686084142,0.0,0.0,61.48867313915858,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
5,226,5,,605,40.33057851239669,0.0,0.0,59.6694214876033,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
6,288,5,,1670,44.4311377245509,0.0,0.0,55.56886227544911,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
7,446,5,2014-10-06 16:10:00,1808,12.665929203539822,0.0,0.2212389380530973,87.11283185840708,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
8,311,5,2014-10-06 18:25:00,3885,58.06949806949808,0.0,1.9562419562419564,39.97425997425997,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
9,441,5,2014-10-06 14:35:00,1731,31.19584055459272,0.0,0.0,68.80415944540728,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
10,483,5,2014-10-06 18:40:00,863,89.45538818076477,0.0,0.0,10.544611819235229,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
11,230,5,,1230,0.0,0.0,0.0,100.0,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
12,92,5,2014-10-11 15:35:00,3584,60.71428571428571,0.0,1.8973214285714284,37.38839285714285,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
13,300,5,2014-10-06 14:25:00,1359,41.05960264900662,0.0,1.692420897718911,57.24797645327446,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
14,173,5,,683,39.67789165446559,0.0,0.1464128843338213,60.17569546120058,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
15,454,5,,856,26.285046728971963,0.0,0.3504672897196261,73.36448598130842,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
16,267,5,2014-10-06 14:15:00,626,13.738019169329077,0.1597444089456869,0.0,86.10223642172524,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
17,9,5,2014-10-06 15:30:00,436,51.60550458715596,0.0,0.0,48.39449541284404,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
18,34,5,,2174,64.21343146274148,0.0,0.8279668813247469,34.95860165593376,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
19,388,5,,398,40.7035175879397,0.0,0.7537688442211055,58.5427135678392,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
20,22,5,,337,10.385756676557865,0.0,0.0,89.61424332344214,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
21,337,5,,0,0.0,0.0,0.0,0.0,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
22,145,5,2014-10-07 03:25:00,704,45.45454545454545,0.0,0.0,54.54545454545454,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
23,426,5,2014-10-06 14:25:00,1727,41.45917776491025,0.0,0.9843659525188188,57.55645628257093,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
24,212,5,,16,6.25,0.0,0.0,93.75,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
25,404,5,,17,23.52941176470588,0.0,0.0,76.47058823529412,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
26,211,5,2014-10-06 22:10:00,3252,32.99507995079951,0.0,0.1537515375153751,66.85116851168512,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
27,333,5,,4447,45.89610973690128,0.0,0.0,54.10389026309872,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
28,385,5,,108,28.703703703703702,0.9259259259259258,0.0,70.37037037037037,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
29,308,5,2014-10-06 17:05:00,895,19.441340782122904,0.0,0.0,80.55865921787709,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
30,432,5,,0,0.0,0.0,0.0,0.0,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
31,270,5,2014-10-07 12:15:00,660,35.75757575757576,0.0,1.3636363636363635,62.87878787878788,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
32,424,5,2014-10-06 14:15:00,2037,33.186057928325965,0.0,0.2945508100147275,66.5193912616593,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
33,439,5,2014-10-06 14:15:00,2393,38.236523192645215,0.0,1.5461763476807355,60.21730045967405,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
34,289,5,,0,0.0,0.0,0.0,0.0,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
35,355,5,2014-10-06 14:40:00,1209,52.191894127378,0.0,0.0,47.808105872622,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
36,197,5,2014-10-06 14:10:00,1053,37.51187084520418,0.0,0.0,62.48812915479582,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
37,42,5,,1984,47.22782258064516,0.0,0.4536290322580645,52.318548387096776,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
38,468,5,,0,0.0,0.0,0.0,0.0,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
39,187,5,,1719,51.94880744618965,0.0,0.8726003490401396,47.17859220477021,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
40,23,5,,1714,31.680280046674447,0.0,0.4084014002333722,67.91131855309219,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
41,256,5,,216,16.666666666666664,0.0,0.0,83.33333333333334,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
42,413,5,,175,0.5714285714285714,0.0,0.5714285714285714,98.85714285714286,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
43,101,5,,0,0.0,0.0,0.0,0.0,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
44,100,5,,0,0.0,0.0,0.0,0.0,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
45,135,5,2014-10-06 17:35:00,0,0.0,0.0,0.0,0.0,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
46,55,5,2014-10-06 14:25:00,2531,15.527459502173055,0.0,0.75069142631371,83.72184907151323,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
47,429,5,2014-10-06 14:30:00,604,22.18543046357616,0.0,0.0,77.81456953642383,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
48,347,5,2014-10-07 16:30:00,53,37.735849056603776,1.8867924528301887,3.7735849056603774,56.60377358490566,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
49,156,5,,438,31.506849315068493,0.0,0.0,68.4931506849315,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
50,30,5,,0,0.0,0.0,0.0,0.0,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
51,224,5,2014-10-06 15:10:00,2720,51.87500000000001,0.0,0.0735294117647058,48.0514705882353,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
52,19,5,,1447,58.67311679336559,0.0,0.6219765031098825,40.704906703524536,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
53,301,5,,401,35.16209476309227,0.0,0.0,64.83790523690773,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
54,437,5,2014-10-06 14:20:00,554,72.3826714801444,0.0,0.0,27.617328519855597,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
55,244,5,2014-10-07 01:55:00,452,37.16814159292036,0.0,0.2212389380530973,62.61061946902655,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
56,449,5,,1068,4.307116104868914,0.0,0.0,95.69288389513108,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
57,470,5,2014-10-06 17:15:00,1202,49.750415973377706,0.0,0.0,50.24958402662229,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
58,305,5,,1020,27.647058823529413,0.0,0.0980392156862745,72.25490196078431,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
59,147,5,,1,0.0,0.0,0.0,100.0,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
60,225,5,,23,26.08695652173913,0.0,0.0,73.91304347826086,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
61,359,5,2014-10-06 16:00:00,2050,51.5609756097561,0.0,0.048780487804878,48.39024390243903,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
62,188,5,,513,78.55750487329435,0.0,0.0,21.44249512670565,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
63,136,5,2014-10-06 14:10:00,3638,56.62451896646509,0.0,1.319406267179769,42.05607476635514,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
64,336,5,,3,66.66666666666666,0.0,0.0,33.33333333333333,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
65,56,5,,1541,23.36145360155743,0.0,2.7255029201817003,73.91304347826086,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
66,205,5,,5,20.0,0.0,0.0,80.0,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
67,130,5,2014-10-06 15:20:00,1447,41.4651002073255,0.0,0.0,58.5348997926745,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
68,60,5,2014-10-06 14:10:00,404,8.91089108910891,0.0,0.0,91.0891089108911,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
69,21,5,,112,27.67857142857143,0.0,0.0,72.32142857142857,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
70,320,5,2014-10-06 17:45:00,839,49.46364719904648,0.0,0.3575685339690107,50.17878426698451,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
71,462,5,,1730,35.72254335260116,0.0,0.0,64.27745664739885,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
72,229,5,,2325,40.68817204301075,0.0,0.3440860215053763,58.96774193548387,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
73,448,5,,327,61.7737003058104,0.0,0.3058103975535168,37.92048929663608,40.53398058252427,0.0,0.7281553398058253,58.7378640776699
