,user,wave_no,vaccination_time,total_interactions,vaccinated_interactions,infected_interactions,recovered_interactions,susceptible_interactions,vaccinated_all,infected_all,recovered_all,susceptible_all
0,158,10,,691,35.02170767004342,0.0,1.447178002894356,63.38639652677279,26.975476839237057,0.0,18.80108991825613,54.223433242506815
1,434,10,2014-11-17 15:00:00,330,0.6060606060606061,3.939393939393939,0.0,90.9090909090909,26.975476839237057,0.0,18.80108991825613,54.223433242506815
2,327,10,,892,26.45739910313901,0.672645739910314,11.434977578475335,57.51121076233184,26.975476839237057,0.0,18.80108991825613,54.223433242506815
3,455,10,,89,0.0,0.0,0.0,100.0,26.975476839237057,0.0,18.80108991825613,54.223433242506815
4,137,10,,35,0.0,0.0,0.0,97.14285714285714,26.975476839237057,0.0,18.80108991825613,54.223433242506815
5,25,10,,244,25.0,3.6885245901639343,0.819672131147541,70.49180327868852,26.975476839237057,0.0,18.80108991825613,54.223433242506815
6,226,10,,551,13.430127041742288,0.1814882032667876,2.540834845735027,83.8475499092559,26.975476839237057,0.0,18.80108991825613,54.223433242506815
7,288,10,,530,14.528301886792452,6.981132075471698,0.0,78.49056603773586,26.975476839237057,0.0,18.80108991825613,54.223433242506815
8,446,10,2014-11-17 17:50:00,1666,31.392557022809125,5.222088835534214,6.002400960384153,56.78271308523409,26.975476839237057,0.0,18.80108991825613,54.223433242506815
9,311,10,2014-11-18 05:35:00,2159,15.51644279759148,6.299212598425196,7.086614173228346,64.98378879110699,26.975476839237057,0.0,18.80108991825613,54.223433242506815
10,441,10,2014-11-17 18:15:00,2242,21.900089206066014,0.0,0.1338090990187332,77.921498661909,26.975476839237057,0.0,18.80108991825613,54.223433242506815
11,483,10,2014-11-17 16:25:00,1367,45.7205559619605,2.04828090709583,7.534747622531091,44.62326261887345,26.975476839237057,0.0,18.80108991825613,54.223433242506815
12,300,10,,1427,37.21093202522775,1.5416958654519972,0.0700770847932726,59.0749824807288,26.975476839237057,0.0,18.80108991825613,54.223433242506815
13,173,10,,608,29.11184210526316,0.4934210526315789,15.625,49.17763157894737,26.975476839237057,0.0,18.80108991825613,54.223433242506815
