,user,points,state,vaccination_time,wave_no,decision,extraversion
1483,178,100,S,None,8,0,2.375
1484,477,100,S,None,8,0,3.5
1485,394,100,S,None,8,0,2.875
1486,473,100,S,None,8,0,3.375
1487,219,100,S,None,8,0,2.25
1488,8,100,S,None,8,0,4.5
1489,246,90,V,2014-11-03 14:10:00,8,1,4.375
1490,162,90,V,2014-11-03 18:35:00,8,1,3.875
1491,248,90,V,2014-11-03 16:30:00,8,1,3.625
1492,83,100,S,None,8,0,2.625
1493,409,53,V,2014-11-03 18:45:00,8,1,3.125
1494,4,100,S,None,8,0,2.5
1495,119,60,V,2014-11-03 14:10:00,8,1,2.75
1496,151,100,S,None,8,0,2.25
1497,340,100,S,None,8,0,3.125
1498,416,66,V,2014-11-03 14:15:00,8,1,3.375
1499,453,100,S,None,8,0,2.75
1500,142,100,S,None,8,0,3.875
1501,286,90,V,2014-11-03 15:45:00,8,1,4.25
1502,33,100,S,None,8,0,3.625
1503,309,100,S,None,8,0,2.25
1504,191,90,V,2014-11-03 14:30:00,8,1,3.125
1505,314,90,V,2014-11-03 14:10:00,8,1,3.375
1506,13,90,V,2014-11-04 01:20:00,8,1,3.75
1507,249,90,V,2014-11-03 14:15:00,8,1,3.75
1508,343,100,S,None,8,0,3.875
1509,36,100,S,None,8,0,3.125
1510,218,100,S,None,8,0,3.875
1511,16,90,V,2014-11-03 14:10:00,8,1,3.75
1512,209,100,S,None,8,0,3.3277
1513,431,100,S,None,8,0,3.125
1514,73,100,S,None,8,0,3.0
1515,278,90,V,2014-11-03 14:10:00,8,1,4.0
1516,329,100,S,None,8,0,3.0
1517,91,90,V,2014-11-03 17:45:00,8,1,2.875
1518,307,100,S,None,8,0,3.25
1519,257,54,V,2014-11-07 13:30:00,8,1,3.25
1520,94,100,S,None,8,0,3.3277
1521,227,100,S,None,8,0,3.625
1522,39,100,S,None,8,0,4.125
1523,198,100,S,None,8,0,3.125
1524,168,100,S,None,8,0,3.3277
1525,372,60,V,2014-11-04 14:15:00,8,1,4.75
1526,27,90,V,2014-11-03 14:10:00,8,1,3.875
1527,480,100,S,None,8,0,3.3277
1528,281,100,S,None,8,0,3.3277
1529,292,100,S,None,8,0,2.75
1530,120,90,V,2014-11-03 14:20:00,8,1,3.625
1531,306,100,S,None,8,0,3.125
1532,263,100,S,None,8,0,3.375
1533,447,100,S,None,8,0,3.5
1534,67,100,S,None,8,0,4.25
1535,210,100,S,None,8,0,2.125
1536,154,100,S,None,8,0,2.5
1537,105,100,S,None,8,0,3.125
1538,324,100,S,None,8,0,3.3277
1539,382,100,S,None,8,0,3.5
1540,104,90,V,2014-11-03 14:15:00,8,1,3.875
1541,315,74,V,2014-11-04 00:45:00,8,1,3.3277
1542,117,100,S,None,8,0,3.3277
1543,460,51,V,2014-11-03 15:15:00,8,1,2.125
1544,402,90,V,2014-11-10 01:15:00,8,1,3.25
1545,172,100,S,None,8,0,3.0
1546,167,63,V,2014-11-03 14:10:00,8,1,3.375
1547,282,90,V,2014-11-03 14:05:00,8,1,3.125
1548,367,90,V,2014-11-03 22:15:00,8,1,3.25
1549,293,90,V,2014-11-03 16:15:00,8,1,3.125
1550,5,100,S,None,8,0,4.0
1551,277,100,S,None,8,0,3.3277
1552,390,100,S,None,8,0,4.25
1553,349,90,V,2014-11-03 21:55:00,8,1,3.75
1554,128,100,S,None,8,0,3.25
1555,465,100,S,None,8,0,3.0
1556,195,100,S,None,8,0,2.875
1557,199,100,S,None,8,0,2.625
1558,20,100,S,None,8,0,3.25
1559,397,61,V,2014-11-03 18:30:00,8,1,2.625
1560,491,100,S,None,8,0,3.3277
1561,299,100,S,None,8,0,2.875
1562,476,100,S,None,8,0,3.75
1563,183,90,V,2014-11-03 14:10:00,8,1,2.75
1564,445,90,V,2014-11-03 15:10:00,8,1,3.625
1565,185,100,S,None,8,0,3.75
1566,328,55,V,2014-11-03 15:05:00,8,1,3.625
1567,129,100,S,None,8,0,3.875
1568,64,100,S,None,8,0,3.875
1569,312,100,S,None,8,0,3.75
1570,302,100,S,None,8,0,3.0
1571,97,90,V,2014-11-03 16:10:00,8,1,2.875
1572,280,100,S,None,8,0,3.0
1573,395,100,S,None,8,0,3.625
1574,196,100,S,None,8,0,3.3277
1575,332,90,V,2014-11-06 08:20:00,8,1,2.875
1576,14,100,S,None,8,0,3.75
1577,231,74,V,2014-11-03 17:05:00,8,1,3.25
1578,29,100,S,None,8,0,3.375
1579,363,90,V,2014-11-03 14:20:00,8,1,2.75
1580,331,100,S,None,8,0,3.3277
