,user,wave_no,day,vaccinated,total_interactions,vaccinated_interactions,infected_interactions,recovered_interactions,susceptible_interactions,vaccinated_all,infected_all,recovered_all,susceptible_all,is_infected
0,88,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,88,7,2,0,404,0.0,8.750000000000002,0.0,91.25,17.75510204081633,6.530612244897959,0.0,75.71428571428571,1
2,88,7,3,0,0,0.0,0.0,0.0,0.0,19.918699186991873,6.097560975609755,7.113821138211379,66.86991869918698,1
3,88,7,4,0,0,0.0,0.0,0.0,0.0,20.366598778004075,3.2586558044806533,13.44195519348269,62.93279022403259,1
4,88,7,5,0,405,32.09876543209877,0.0,39.01234567901234,28.88888888888889,21.659919028340084,2.0242914979757085,17.20647773279352,59.109311740890696,1
5,88,7,6,0,2,0.0,0.0,50.0,50.0,22.560975609756103,1.016260162601626,19.308943089430898,57.11382113821139,1
6,88,7,7,0,0,0.0,0.0,0.0,0.0,23.1237322515213,0.40567951318458423,20.283975659229213,56.186612576064896,1
7,158,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,158,7,2,0,127,0.0,0.0,0.0,100.0,17.75510204081633,6.530612244897959,0.0,75.71428571428571,0
9,158,7,3,0,146,32.87671232876713,0.0,0.0,67.12328767123287,19.918699186991873,6.097560975609755,7.113821138211379,66.86991869918698,0
10,158,7,4,0,138,48.55072463768116,0.0,2.898550724637681,48.55072463768116,20.366598778004075,3.2586558044806533,13.44195519348269,62.93279022403259,0
11,158,7,5,0,142,25.352112676056343,0.0,0.0,74.64788732394366,21.659919028340084,2.0242914979757085,17.20647773279352,59.109311740890696,0
12,158,7,6,0,143,14.685314685314683,0.0,31.46853146853146,53.84615384615384,22.560975609756103,1.016260162601626,19.308943089430898,57.11382113821139,0
13,158,7,7,0,0,0.0,0.0,0.0,0.0,23.1237322515213,0.40567951318458423,20.283975659229213,56.186612576064896,0
14,434,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,434,7,2,0,0,0.0,0.0,0.0,0.0,17.75510204081633,6.530612244897959,0.0,75.71428571428571,1
16,434,7,3,0,0,0.0,0.0,0.0,0.0,19.918699186991873,6.097560975609755,7.113821138211379,66.86991869918698,1
17,434,7,4,0,0,0.0,0.0,0.0,0.0,20.366598778004075,3.2586558044806533,13.44195519348269,62.93279022403259,1
18,434,7,5,0,0,0.0,0.0,0.0,0.0,21.659919028340084,2.0242914979757085,17.20647773279352,59.109311740890696,1
19,434,7,6,0,21,23.809523809523807,0.0,0.0,76.19047619047619,22.560975609756103,1.016260162601626,19.308943089430898,57.11382113821139,1
20,434,7,7,0,0,0.0,0.0,0.0,0.0,23.1237322515213,0.40567951318458423,20.283975659229213,56.186612576064896,1
21,327,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,327,7,2,0,231,0.0,0.0,0.0,100.0,17.75510204081633,6.530612244897959,0.0,75.71428571428571,0
23,327,7,3,0,111,45.04504504504504,0.0,0.0,54.95495495495496,19.918699186991873,6.097560975609755,7.113821138211379,66.86991869918698,0
24,327,7,4,0,37,29.729729729729726,0.0,35.13513513513514,35.13513513513514,20.366598778004075,3.2586558044806533,13.44195519348269,62.93279022403259,0
25,327,7,5,0,254,20.55335968379447,0.39525691699604754,22.924901185770757,56.12648221343874,21.659919028340084,2.0242914979757085,17.20647773279352,59.109311740890696,0
26,327,7,6,0,591,26.277372262773724,1.094890510948905,32.846715328467155,39.78102189781021,22.560975609756103,1.016260162601626,19.308943089430898,57.11382113821139,0
27,327,7,7,0,14,92.85714285714286,0.0,0.0,7.142857142857142,23.1237322515213,0.40567951318458423,20.283975659229213,56.186612576064896,0
28,455,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29,455,7,2,0,0,0.0,0.0,0.0,0.0,17.75510204081633,6.530612244897959,0.0,75.71428571428571,1
30,455,7,3,0,0,0.0,0.0,0.0,0.0,19.918699186991873,6.097560975609755,7.113821138211379,66.86991869918698,1
31,455,7,4,0,0,0.0,0.0,0.0,0.0,20.366598778004075,3.2586558044806533,13.44195519348269,62.93279022403259,1
32,455,7,5,0,66,3.030303030303031,0.0,0.0,96.96969696969698,21.659919028340084,2.0242914979757085,17.20647773279352,59.109311740890696,1
33,455,7,6,0,316,15.434083601286172,0.0,36.977491961414785,47.58842443729904,22.560975609756103,1.016260162601626,19.308943089430898,57.11382113821139,1
34,455,7,7,0,0,0.0,0.0,0.0,0.0,23.1237322515213,0.40567951318458423,20.283975659229213,56.186612576064896,1
35,137,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36,137,7,2,0,50,0.0,55.26315789473685,0.0,44.736842105263165,17.75510204081633,6.530612244897959,0.0,75.71428571428571,0
37,137,7,3,0,66,22.72727272727273,15.151515151515152,1.5151515151515151,60.60606060606061,19.918699186991873,6.097560975609755,7.113821138211379,66.86991869918698,0
38,137,7,4,0,169,14.201183431952662,13.017751479289943,21.301775147929,51.4792899408284,20.366598778004075,3.2586558044806533,13.44195519348269,62.93279022403259,0
39,137,7,5,0,0,0.0,0.0,0.0,0.0,21.659919028340084,2.0242914979757085,17.20647773279352,59.109311740890696,0
40,137,7,6,0,33,12.12121212121212,0.0,24.24242424242424,63.63636363636363,22.560975609756103,1.016260162601626,19.308943089430898,57.11382113821139,0
41,137,7,7,0,0,0.0,0.0,0.0,0.0,23.1237322515213,0.40567951318458423,20.283975659229213,56.186612576064896,0
42,25,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
43,25,7,2,0,0,0.0,0.0,0.0,0.0,17.75510204081633,6.530612244897959,0.0,75.71428571428571,0
44,25,7,3,0,150,46.66666666666666,0.0,0.0,53.33333333333334,19.918699186991873,6.097560975609755,7.113821138211379,66.86991869918698,0
45,25,7,4,0,1,0.0,0.0,0.0,100.0,20.366598778004075,3.2586558044806533,13.44195519348269,62.93279022403259,0
46,25,7,5,0,145,21.37931034482758,0.0,20.689655172413797,57.931034482758626,21.659919028340084,2.0242914979757085,17.20647773279352,59.109311740890696,0
47,25,7,6,0,0,0.0,0.0,0.0,0.0,22.560975609756103,1.016260162601626,19.308943089430898,57.11382113821139,0
48,25,7,7,0,0,0.0,0.0,0.0,0.0,23.1237322515213,0.40567951318458423,20.283975659229213,56.186612576064896,0
49,226,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50,226,7,2,0,21,0.0,4.999999999999999,0.0,95.0,17.75510204081633,6.530612244897959,0.0,75.71428571428571,0
51,226,7,3,0,0,0.0,0.0,0.0,0.0,19.918699186991873,6.097560975609755,7.113821138211379,66.86991869918698,0
52,226,7,4,0,238,16.80672268907563,2.5210084033613445,10.504201680672267,70.16806722689076,20.366598778004075,3.2586558044806533,13.44195519348269,62.93279022403259,0
53,226,7,5,0,56,23.21428571428571,3.5714285714285707,44.642857142857146,28.571428571428566,21.659919028340084,2.0242914979757085,17.20647773279352,59.109311740890696,0
54,226,7,6,0,116,36.206896551724135,0.0,12.93103448275862,50.86206896551725,22.560975609756103,1.016260162601626,19.308943089430898,57.11382113821139,0
55,226,7,7,0,0,0.0,0.0,0.0,0.0,23.1237322515213,0.40567951318458423,20.283975659229213,56.186612576064896,0
56,288,7,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
57,288,7,2,1,38,0.0,0.0,0.0,100.0,17.75510204081633,6.530612244897959,0.0,75.71428571428571,0
58,288,7,3,1,324,33.757961783439484,2.5477707006369426,0.9554140127388532,62.738853503184714,19.918699186991873,6.097560975609755,7.113821138211379,66.86991869918698,0
59,288,7,4,1,118,0.0,0.0,0.8474576271186439,99.15254237288136,20.366598778004075,3.2586558044806533,13.44195519348269,62.93279022403259,0
60,288,7,5,1,399,25.06265664160401,0.0,42.35588972431078,32.581453634085214,21.659919028340084,2.0242914979757085,17.20647773279352,59.109311740890696,0
61,288,7,6,1,353,25.495750708215297,0.0,26.62889518413597,47.875354107648725,22.560975609756103,1.016260162601626,19.308943089430898,57.11382113821139,0
62,288,7,7,1,0,0.0,0.0,0.0,0.0,23.1237322515213,0.40567951318458423,20.283975659229213,56.186612576064896,0
63,446,7,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
64,446,7,2,1,236,0.0,1.2711864406779665,0.0,98.72881355932203,17.75510204081633,6.530612244897959,0.0,75.71428571428571,0
65,446,7,3,1,240,0.0,29.569892473118276,1.075268817204301,69.35483870967742,19.918699186991873,6.097560975609755,7.113821138211379,66.86991869918698,0
66,446,7,4,1,227,0.0,8.370044052863436,38.76651982378855,52.86343612334802,20.366598778004075,3.2586558044806533,13.44195519348269,62.93279022403259,0
67,446,7,5,1,56,0.0,0.0,12.5,87.5,21.659919028340084,2.0242914979757085,17.20647773279352,59.109311740890696,0
68,446,7,6,1,221,3.167420814479638,0.0,44.796380090497735,52.036199095022624,22.560975609756103,1.016260162601626,19.308943089430898,57.11382113821139,0
69,446,7,7,1,52,1.9230769230769231,0.0,0.0,98.07692307692308,23.1237322515213,0.40567951318458423,20.283975659229213,56.186612576064896,0
70,311,7,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71,311,7,2,1,186,0.0,0.0,0.0,100.0,17.75510204081633,6.530612244897959,0.0,75.71428571428571,0
