,user,wave_no,day,vaccinated,total_interactions,vaccinated_interactions,infected_interactions,recovered_interactions,susceptible_interactions,vaccinated_all,infected_all,recovered_all,susceptible_all,is_infected
0,158,11,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,158,11,2,0,129,0.7751937984496124,0.0,0.0,99.2248062015504,16.666666666666664,3.252032520325203,0.0,80.08130081300811,0
2,158,11,3,0,71,8.450704225352114,0.0,0.0,91.54929577464789,19.06693711967546,1.4198782961460445,3.6511156186612572,75.86206896551724,0
3,158,11,4,0,120,25.833333333333336,0.0,0.0,74.16666666666667,21.298174442190664,0.8113590263691686,5.070993914807304,72.81947261663286,0
4,158,11,5,0,126,6.349206349206349,0.0,0.0,93.65079365079364,21.7479674796748,1.829268292682927,5.894308943089432,70.52845528455285,0
5,158,11,6,0,0,0.0,0.0,0.0,0.0,22.10953346855984,1.01419878296146,7.91075050709939,68.9655172413793,0
6,158,11,7,0,0,0.0,0.0,0.0,0.0,22.2672064777328,0.2024291497975709,8.906882591093119,68.62348178137651,0
7,434,11,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,434,11,2,1,479,0.0,0.0,0.0,100.0,16.666666666666664,3.252032520325203,0.0,80.08130081300811,0
9,434,11,3,1,71,90.14084507042254,0.0,0.0,9.85915492957746,19.06693711967546,1.4198782961460445,3.6511156186612572,75.86206896551724,0
10,434,11,4,1,0,0.0,0.0,0.0,0.0,21.298174442190664,0.8113590263691686,5.070993914807304,72.81947261663286,0
11,434,11,5,1,0,0.0,0.0,0.0,0.0,21.7479674796748,1.829268292682927,5.894308943089432,70.52845528455285,0
12,434,11,6,1,0,0.0,0.0,0.0,0.0,22.10953346855984,1.01419878296146,7.91075050709939,68.9655172413793,0
13,434,11,7,1,0,0.0,0.0,0.0,0.0,22.2672064777328,0.2024291497975709,8.906882591093119,68.62348178137651,0
14,327,11,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,327,11,2,0,137,4.379562043795621,0.0,0.0,95.62043795620437,16.666666666666664,3.252032520325203,0.0,80.08130081300811,0
16,327,11,3,0,216,37.5,0.4629629629629629,0.0,62.03703703703704,19.06693711967546,1.4198782961460445,3.6511156186612572,75.86206896551724,0
17,327,11,4,0,97,48.45360824742268,0.0,2.061855670103093,49.48453608247422,21.298174442190664,0.8113590263691686,5.070993914807304,72.81947261663286,0
18,327,11,5,0,9,100.0,0.0,0.0,0.0,21.7479674796748,1.829268292682927,5.894308943089432,70.52845528455285,0
19,327,11,6,0,302,32.450331125827816,0.0,0.3311258278145696,67.21854304635761,22.10953346855984,1.01419878296146,7.91075050709939,68.9655172413793,0
20,327,11,7,0,91,83.51648351648352,0.0,15.384615384615383,1.0989010989010992,22.2672064777328,0.2024291497975709,8.906882591093119,68.62348178137651,0
21,455,11,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,455,11,2,1,29,0.0,0.0,0.0,100.0,16.666666666666664,3.252032520325203,0.0,80.08130081300811,0
23,455,11,3,1,0,0.0,0.0,0.0,0.0,19.06693711967546,1.4198782961460445,3.6511156186612572,75.86206896551724,0
24,455,11,4,1,96,62.7659574468085,0.0,2.127659574468084,35.106382978723396,21.298174442190664,0.8113590263691686,5.070993914807304,72.81947261663286,0
25,455,11,5,1,46,4.3478260869565215,0.0,0.0,95.65217391304348,21.7479674796748,1.829268292682927,5.894308943089432,70.52845528455285,0
26,455,11,6,1,98,28.865979381443303,13.402061855670105,7.216494845360826,50.515463917525786,22.10953346855984,1.01419878296146,7.91075050709939,68.9655172413793,0
27,455,11,7,1,0,0.0,0.0,0.0,0.0,22.2672064777328,0.2024291497975709,8.906882591093119,68.62348178137651,0
28,25,11,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29,25,11,2,0,60,0.0,0.0,0.0,100.0,16.666666666666664,3.252032520325203,0.0,80.08130081300811,0
30,25,11,3,0,17,88.23529411764706,0.0,0.0,11.764705882352938,19.06693711967546,1.4198782961460445,3.6511156186612572,75.86206896551724,0
31,25,11,4,0,22,4.545454545454546,4.545454545454546,0.0,90.9090909090909,21.298174442190664,0.8113590263691686,5.070993914807304,72.81947261663286,0
32,25,11,5,0,0,0.0,0.0,0.0,0.0,21.7479674796748,1.829268292682927,5.894308943089432,70.52845528455285,0
33,25,11,6,0,0,0.0,0.0,0.0,0.0,22.10953346855984,1.01419878296146,7.91075050709939,68.9655172413793,0
34,25,11,7,0,0,0.0,0.0,0.0,0.0,22.2672064777328,0.2024291497975709,8.906882591093119,68.62348178137651,0
35,226,11,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36,226,11,2,0,1,0.0,0.0,0.0,100.0,16.666666666666664,3.252032520325203,0.0,80.08130081300811,0
37,226,11,3,0,0,0.0,0.0,0.0,0.0,19.06693711967546,1.4198782961460445,3.6511156186612572,75.86206896551724,0
38,226,11,4,0,217,6.451612903225807,0.0,0.0,93.54838709677419,21.298174442190664,0.8113590263691686,5.070993914807304,72.81947261663286,0
