,user,points,state,vaccination_time,wave_no,decision,extraversion
0,158,54,R,None,9,0,4.375
1,434,90,V,2014-11-10 14:10:00,9,1,2.25
2,327,100,S,None,9,0,2.5
3,455,100,S,None,9,0,3.25
4,137,100,S,None,9,0,1.625
5,25,100,S,None,9,0,3.25
6,226,47,R,None,9,0,3.125
7,288,100,S,None,9,0,3.375
8,446,90,V,2014-11-10 17:50:00,9,1,2.375
9,311,90,V,2014-11-10 15:05:00,9,1,2.125
10,441,90,V,2014-11-10 14:10:00,9,1,3.875
11,483,90,V,2014-11-10 15:00:00,9,1,4.125
12,173,100,S,None,9,0,2.75
13,454,100,S,None,9,0,3.125
14,267,90,V,2014-11-10 16:50:00,9,1,3.125
15,9,90,V,2014-11-10 15:30:00,9,1,4.5
16,34,100,S,None,9,0,2.375
17,410,31,R,None,9,0,3.875
18,0,100,S,None,9,0,3.3277
19,388,100,S,None,9,0,3.25
20,22,100,S,None,9,0,3.75
21,337,100,S,None,9,0,2.75
22,145,90,V,2014-11-10 15:10:00,9,1,4.25
23,426,90,V,2014-11-10 14:10:00,9,1,4.0
24,98,90,V,2014-11-10 14:10:00,9,1,3.125
25,487,100,S,None,9,0,3.25
26,212,100,S,None,9,0,4.625
27,404,100,S,None,9,0,3.5
28,270,90,V,2014-11-11 19:45:00,9,1,2.75
29,424,90,V,2014-11-10 14:35:00,9,1,3.75
30,439,55,V,2014-11-10 14:40:00,9,1,3.625
31,289,100,S,None,9,0,3.3277
32,197,90,V,2014-11-10 14:15:00,9,1,4.375
33,42,100,S,None,9,0,4.625
34,468,100,S,None,9,0,3.0
35,187,100,S,None,9,0,3.25
36,256,100,S,None,9,0,3.5
37,413,100,S,None,9,0,2.5
38,101,100,S,None,9,0,3.3277
39,100,100,S,None,9,0,3.625
40,155,100,S,None,9,0,3.3277
41,135,90,V,2014-11-10 17:35:00,9,1,3.75
42,55,64,V,2014-11-10 14:15:00,9,1,3.5
43,429,100,S,None,9,0,3.5
44,347,100,S,None,9,0,3.375
45,156,100,S,None,9,0,4.25
46,30,100,S,None,9,0,3.3277
47,224,90,V,2014-11-10 16:10:00,9,1,2.125
48,19,100,S,None,9,0,2.875
49,301,100,S,None,9,0,3.0
50,437,90,V,None,9,1,2.875
51,244,49,R,None,9,0,3.875
52,449,61,V,2014-11-10 14:35:00,9,1,2.5
53,470,37,R,None,9,0,3.375
54,305,100,S,None,9,0,2.25
55,398,100,S,None,9,0,3.0
56,147,100,S,None,9,0,3.125
57,225,100,S,None,9,0,2.75
58,359,100,S,None,9,0,2.375
59,188,100,S,None,9,0,2.5
60,136,100,S,None,9,0,3.625
61,336,100,S,None,9,0,3.3277
62,56,100,S,None,9,0,3.375
63,205,100,S,None,9,0,3.875
64,130,90,V,2014-11-10 14:10:00,9,1,3.125
65,60,90,V,2014-11-10 14:10:00,9,1,2.5
66,21,100,S,None,9,0,3.5
67,320,90,V,2014-11-10 15:05:00,9,1,3.25
68,462,100,S,None,9,0,3.875
69,229,100,S,None,9,0,3.25
70,448,100,S,None,9,0,3.0
71,375,100,S,None,9,0,3.125
72,223,100,S,None,9,0,3.25
73,234,100,S,None,9,0,3.3277
74,420,58,V,2014-11-10 18:45:00,9,1,3.375
75,206,100,S,None,9,0,3.625
76,253,100,S,None,9,0,4.0
77,116,90,V,2014-11-10 14:15:00,9,1,2.75
78,240,100,S,None,9,0,3.3277
79,408,100,S,None,9,0,3.0
80,95,49,R,None,9,0,3.5
81,6,100,S,None,9,0,2.75
82,236,90,V,2014-11-10 15:40:00,9,1,3.625
83,140,100,S,None,9,0,2.5
84,215,100,S,None,9,0,3.3277
85,49,48,V,2014-11-10 14:15:00,9,1,4.125
86,11,100,S,None,9,0,3.75
87,111,60,V,2014-11-10 14:25:00,9,1,2.75
88,86,90,V,2014-11-10 15:25:00,9,1,3.125
89,122,100,S,None,9,0,2.5
90,51,100,S,None,9,0,3.5
91,63,100,S,None,9,0,3.125
92,490,100,S,None,9,0,2.75
93,346,100,S,None,9,0,2.5
94,407,100,S,None,9,0,3.25
95,419,100,S,None,9,0,4.125
96,194,100,S,None,9,0,3.3277
97,403,90,V,2014-11-10 14:10:00,9,1,4.25
98,457,90,V,2014-11-10 14:15:00,9,1,3.125
99,165,100,S,None,9,0,3.0
100,268,100,S,None,9,0,3.3277
101,41,55,V,2014-11-10 14:10:00,9,1,3.875
102,90,100,S,None,9,0,3.125
103,71,64,V,2014-11-10 15:25:00,9,1,4.0
104,96,100,S,None,9,0,3.25
105,40,100,S,None,9,0,3.3277
106,208,100,S,None,9,0,3.3277
107,322,100,S,None,9,0,2.25
108,102,100,S,None,9,0,3.3277
109,74,100,S,None,9,0,3.0
110,175,100,S,None,9,0,4.0
111,239,90,V,2014-11-12 01:20:00,9,1,3.75
112,170,100,S,None,9,0,3.875
113,492,90,V,2014-11-10 17:30:00,9,1,3.0
114,313,90,V,2014-11-10 16:25:00,9,1,3.125
115,241,61,R,None,9,0,3.625
116,459,90,V,2014-11-15 00:50:00,9,1,3.375
117,370,90,V,2014-11-11 06:20:00,9,1,2.375
118,125,54,V,2014-11-11 16:00:00,9,1,3.75
119,310,100,S,None,9,0,3.375
120,387,100,S,None,9,0,2.5
121,444,90,V,2014-11-12 14:40:00,9,1,4.0
122,79,88,V,2014-11-10 15:15:00,9,1,3.0
123,254,100,S,None,9,0,2.75
124,138,100,S,None,9,0,3.3277
125,423,100,S,None,9,0,2.5
126,318,51,V,2014-11-10 14:15:00,9,1,3.75
127,365,100,S,None,9,0,4.625
128,18,90,V,2014-11-10 14:10:00,9,1,3.75
129,411,100,S,None,9,0,3.3277
130,164,100,S,None,9,0,3.75
131,89,76,V,2014-11-10 16:25:00,9,1,2.25
132,114,100,S,None,9,0,3.75
133,186,100,S,None,9,0,2.375
134,458,90,V,2014-11-10 14:15:00,9,1,3.0
135,181,100,S,None,9,0,4.0
136,450,100,S,None,9,0,3.5
137,266,100,S,None,9,0,3.3277
138,471,58,V,2014-11-10 15:15:00,9,1,3.5
139,157,71,R,None,9,0,4.875
140,68,100,S,None,9,0,3.3277
141,295,100,S,None,9,0,3.0
142,76,53,V,2014-11-10 16:50:00,9,1,3.3277
143,106,100,S,None,9,0,3.3277
144,146,90,V,2014-11-10 16:00:00,9,1,2.25
145,400,90,V,2014-11-10 14:10:00,9,1,3.75
146,294,100,S,None,9,0,4.375
147,467,100,S,None,9,0,2.75
148,303,100,S,None,9,0,4.375
149,242,100,S,None,9,0,3.875
150,361,100,S,None,9,0,4.625
151,374,100,S,None,9,0,1.625
152,202,100,S,None,9,0,3.375
153,149,100,S,None,9,0,2.5
154,485,90,V,2014-11-10 17:55:00,9,1,2.875
155,265,90,V,2014-11-10 18:50:00,9,1,4.125
156,123,100,S,None,9,0,2.375
157,428,100,S,None,9,0,3.3277
158,59,100,S,None,9,0,3.125
159,415,100,S,None,9,0,3.75
160,334,100,S,None,9,0,1.875
161,222,100,S,None,9,0,3.625
162,274,52,R,None,9,0,3.5
163,62,100,S,None,9,0,3.3277
164,179,100,S,None,9,0,3.625
165,201,69,V,2014-11-10 18:55:00,9,1,3.0
166,373,100,S,None,9,0,4.625
167,463,100,S,None,9,0,3.625
168,85,100,S,None,9,0,2.75
169,160,100,S,None,9,0,4.25
170,356,90,V,2014-11-10 14:10:00,9,1,4.0
171,475,100,S,None,9,0,4.375
172,84,100,S,None,9,0,3.375
173,141,100,S,None,9,0,3.375
174,184,100,S,None,9,0,3.0
175,81,90,V,2014-11-10 14:15:00,9,1,2.625
176,371,100,S,None,9,0,3.0
177,422,100,S,None,9,0,3.3277
178,233,100,S,None,9,0,3.375
179,58,100,S,None,9,0,2.625
180,392,90,V,2014-11-10 14:10:00,9,1,2.875
181,161,100,S,None,9,0,3.3277
182,77,100,S,None,9,0,2.5
183,399,67,R,None,9,0,4.0
184,251,100,S,None,9,0,2.375
185,319,100,S,None,9,0,3.75
186,252,90,V,2014-11-10 14:15:00,9,1,2.75
187,339,90,V,2014-11-10 17:15:00,9,1,3.375
188,366,100,S,None,9,0,3.375
189,69,90,V,2014-11-10 16:30:00,9,1,4.25
190,216,100,S,None,9,0,3.625
191,493,90,V,2014-11-10 14:40:00,9,1,2.375
